,English,Meaning
801,manager,someone who controls resources and expenditures
802,help,give assistance; be of service
803,close,at or within a short distance in space or time
804,sound,mechanical vibrations transmitted by an elastic medium
805,enjoy,derive or receive pleasure from
806,network,an open fabric woven together at regular intervals
807,legal,established by or founded upon law or official rules
808,religious,having or showing belief in and reverence for a deity
809,cold,having a low or inadequate temperature
810,form,a perceptual structure
811,final,an exam administered at the end of an academic term
812,main,most important element
813,science,"a branch of study or knowledge involving the observation, investigation, and discovery of general laws or truths that can be tested systematically"
